Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Total Nacional;Agricultura;2015T1;281,1
Total Nacional;Agricultura;2014T4;271,4
Total Nacional;Agricultura;2014T3;285,6
Total Nacional;Agricultura;2014T2;261,4
Total Nacional;Agricultura;2014T1;241,8
Total Nacional;Agricultura;2013T4;247,2
Total Nacional;Agricultura;2013T3;284,9
Total Nacional;Agricultura;2013T2;269,1
Total Nacional;Agricultura;2013T1;294,5
Total Nacional;Agricultura;2012T4;266,9
Total Nacional;Agricultura;2012T3;296,6
Total Nacional;Agricultura;2012T2;279,1
Total Nacional;Agricultura;2012T1;268,1
Total Nacional;Agricultura;2011T4;206,8
Total Nacional;Agricultura;2011T3;248,6
Total Nacional;Agricultura;2011T2;242,2
Total Nacional;Agricultura;2011T1;224,4
Total Nacional;Agricultura;2010T4;205,3
Total Nacional;Agricultura;2010T3;230,2
Total Nacional;Agricultura;2010T2;231,2
Total Nacional;Agricultura;2010T1;195,3
Total Nacional;Agricultura;2009T4;193,7
Total Nacional;Agricultura;2009T3;214,4
Total Nacional;Agricultura;2009T2;195,8
Total Nacional;Agricultura;2009T1;170
Total Nacional;Agricultura;2008T4;149,6
Total Nacional;Agricultura;2008T3;144,1
Total Nacional;Agricultura;2008T2;120,7
Total Nacional;Agricultura;2008T1;114,8
Total Nacional;Industria;2024T4;120,4
Total Nacional;Industria;2024T3;132,5
Total Nacional;Industria;2024T2;139,3
Total Nacional;Industria;2024T1;148,6
Total Nacional;Industria;2023T4;119,7
Total Nacional;Industria;2023T3;149,4
Total Nacional;Industria;2023T2;147,7
Total Nacional;Industria;2023T1;165,8
Total Nacional;Industria;2022T4;151,1
Total Nacional;Industria;2022T3;146
Total Nacional;Industria;2022T2;142,9
Total Nacional;Industria;2022T1;160,6
Total Nacional;Industria;2021T4;142,1
Total Nacional;Industria;2021T3;134,4
Total Nacional;Industria;2021T2;151,4
Total Nacional;Industria;2021T1;199,1
Total Nacional;Industria;2020T4;193,3
Total Nacional;Industria;2020T3;199,7
Total Nacional;Industria;2020T2;231,6
Total Nacional;Industria;2020T1;176,5
Total Nacional;Industria;2019T4;161,4
Total Nacional;Industria;2019T3;149,8
Total Nacional;Industria;2019T2;165,6
Total Nacional;Industria;2019T1;179,9
Total Nacional;Industria;2018T4;171,3
Total Nacional;Industria;2018T3;161,6
Total Nacional;Industria;2018T2;163,6
Total Nacional;Industria;2018T1;182,7
Total Nacional;Industria;2017T4;174,2
Total Nacional;Industria;2017T3;155,8
Total Nacional;Industria;2017T2;171,5
Total Nacional;Industria;2017T1;183,3
Total Nacional;Industria;2016T4;173,9
Total Nacional;Industria;2016T3;170
Total Nacional;Industria;2016T2;181,4
Total Nacional;Industria;2016T1;185,2
Total Nacional;Industria;2015T4;174,4
Total Nacional;Industria;2015T3;170,8
Total Nacional;Industria;2015T2;177,1
Total Nacional;Industria;2015T1;207,9
Total Nacional;Industria;2014T4;212,1
Total Nacional;Industria;2014T3;196,6
Total Nacional;Industria;2014T2;215,5
Total Nacional;Industria;2014T1;253,5
Total Nacional;Industria;2013T4;248,5
Total Nacional;Industria;2013T3;254,8
Total Nacional;Industria;2013T2;288,2
Total Nacional;Industria;2013T1;330,5
Total Nacional;Industria;2012T4;306,6
Total Nacional;Industria;2012T3;320,5
Total Nacional;Industria;2012T2;328,9
Total Nacional;Industria;2012T1;304
Total Nacional;Industria;2011T4;250
Total Nacional;Industria;2011T3;220,1
Total Nacional;Industria;2011T2;242,5
Total Nacional;Industria;2011T1;255,4
Total Nacional;Industria;2010T4;234,8
Total Nacional;Industria;2010T3;248,6
Total Nacional;Industria;2010T2;273,1
Total Nacional;Industria;2010T1;307,9
Total Nacional;Industria;2009T4;329,6
Total Nacional;Industria;2009T3;362,5
Total Nacional;Industria;2009T2;396,5
Total Nacional;Industria;2009T1;377,9
Total Nacional;Industria;2008T4;291,9
Total Nacional;Industria;2008T3;209,7
Total Nacional;Industria;2008T2;181,9
Total Nacional;Industria;2008T1;169
Total Nacional;Construcción;2024T4;103,3
Total Nacional;Construcción;2024T3;103,5
Total Nacional;Construcción;2024T2;115,8
Total Nacional;Construcción;2024T1;128,7
Total Nacional;Construcción;2023T4;102,1
Total Nacional;Construcción;2023T3;88
Total Nacional;Construcción;2023T2;116
Total Nacional;Construcción;2023T1;138,3
Total Nacional;Construcción;2022T4;122,3
Total Nacional;Construcción;2022T3;103,4
Total Nacional;Construcción;2022T2;121,6
Total Nacional;Construcción;2022T1;116,7
Total Nacional;Construcción;2021T4;116,2
Total Nacional;Construcción;2021T3;145,6
Total Nacional;Construcción;2021T2;124,3
Total Nacional;Construcción;2021T1;157,7
Total Nacional;Construcción;2020T4;153,4
Total Nacional;Construcción;2020T3;156
Total Nacional;Construcción;2020T2;168,3
Total Nacional;Construcción;2020T1;135,9
Total Nacional;Construcción;2019T4;145,5
Total Nacional;Construcción;2019T3;137,7
Total Nacional;Construcción;2019T2;134,7
Total Nacional;Construcción;2019T1;131,6
Total Nacional;Construcción;2018T4;129,1
Total Nacional;Construcción;2018T3;132,4
Total Nacional;Construcción;2018T2;123,1
Total Nacional;Construcción;2018T1;154,6
Total Nacional;Construcción;2017T4;148,3
Total Nacional;Construcción;2017T3;140,6
Total Nacional;Construcción;2017T2;136,4
Total Nacional;Construcción;2017T1;175,7
Total Nacional;Construcción;2016T4;172
Total Nacional;Construcción;2016T3;173,9
Total Nacional;Construcción;2016T2;177,9
Total Nacional;Construcción;2016T1;206,8
Total Nacional;Construcción;2015T4;207,6
Total Nacional;Construcción;2015T3;195,9
Total Nacional;Construcción;2015T2;204
Total Nacional;Construcción;2015T1;221,7
Total Nacional;Construcción;2014T4;228,9
Total Nacional;Construcción;2014T3;224
Total Nacional;Construcción;2014T2;256
Total Nacional;Construcción;2014T1;305,8
Total Nacional;Construcción;2013T4;298,6
Total Nacional;Construcción;2013T3;320,3
Total Nacional;Construcción;2013T2;351,9
Total Nacional;Construcción;2013T1;378,8
Total Nacional;Construcción;2012T4;388,8
Total Nacional;Construcción;2012T3;405,5
Total Nacional;Construcción;2012T2;441,9
Total Nacional;Construcción;2012T1;481,3
Total Nacional;Construcción;2011T4;449,6
Total Nacional;Construcción;2011T3;450,3
Total Nacional;Construcción;2011T2;423,8
Total Nacional;Construcción;2011T1;438,5
Total Nacional;Construcción;2010T4;435,5
Total Nacional;Construcción;2010T3;456,4
Total Nacional;Construcción;2010T2;519,8
Total Nacional;Construcción;2010T1;595,7
Total Nacional;Construcción;2009T4;611,7
Total Nacional;Construcción;2009T3;611
Total Nacional;Construcción;2009T2;692,1
Total Nacional;Construcción;2009T1;736
Total Nacional;Construcción;2008T4;581,4
Total Nacional;Construcción;2008T3;435,2
Total Nacional;Construcción;2008T2;377,6
Total Nacional;Construcción;2008T1;294,3
Total Nacional;Servicios;2024T4;1.018,3
Total Nacional;Servicios;2024T3;1.052,7
Total Nacional;Servicios;2024T2;1.056,3
Total Nacional;Servicios;2024T1;1.246,8
Total Nacional;Servicios;2023T4;1.118,2
Total Nacional;Servicios;2023T3;1.102,2
Total Nacional;Servicios;2023T2;1.056,6
Total Nacional;Servicios;2023T1;1.270,4
Total Nacional;Servicios;2022T4;1.123,6
Total Nacional;Servicios;2022T3;1.081,5
Total Nacional;Servicios;2022T2;1.000,5
Total Nacional;Servicios;2022T1;1.117,1
Total Nacional;Servicios;2021T4;1.024,2
Total Nacional;Servicios;2021T3;1.099,1
Total Nacional;Servicios;2021T2;1.057,7
Total Nacional;Servicios;2021T1;1.366,4
Total Nacional;Servicios;2020T4;1.448,2
Total Nacional;Servicios;2020T3;1.561,7
Total Nacional;Servicios;2020T2;1.540,5
Total Nacional;Servicios;2020T1;1.341,5
Total Nacional;Servicios;2019T4;1.168,7
Total Nacional;Servicios;2019T3;1.146
Total Nacional;Servicios;2019T2;1.154,6
Total Nacional;Servicios;2019T1;1.239,4
Total Nacional;Servicios;2018T4;1.169,6
Total Nacional;Servicios;2018T3;1.085,3
Total Nacional;Servicios;2018T2;1.143,9
Total Nacional;Servicios;2018T1;1.325
Total Nacional;Servicios;2017T4;1.233,7
Total Nacional;Servicios;2017T3;1.161,9
Total Nacional;Servicios;2017T2;1.258,7
Total Nacional;Servicios;2017T1;1.402,7
Total Nacional;Servicios;2016T4;1.297,9
Total Nacional;Servicios;2016T3;1.234,7
Total Nacional;Servicios;2016T2;1.336,8
Total Nacional;Servicios;2016T1;1.446,4
Total Nacional;Servicios;2015T4;1.377,5
Total Nacional;Servicios;2015T3;1.312,8
Total Nacional;Servicios;2015T2;1.372,7
Total Nacional;Servicios;2015T1;1.466,2
Total Nacional;Servicios;2014T4;1.430,9
Total Nacional;Servicios;2014T3;1.395,7
Total Nacional;Servicios;2014T2;1.481,5
Total Nacional;Servicios;2014T1;1.631,3
Total Nacional;Servicios;2013T4;1.603,7
Total Nacional;Servicios;2013T3;1.579,7
Total Nacional;Servicios;2013T2;1.698,1
Total Nacional;Servicios;2013T1;1.857,3
Total Nacional;Servicios;2012T4;1.764,1
Total Nacional;Servicios;2012T3;1.660,9
Total Nacional;Servicios;2012T2;1.685,8
Total Nacional;Servicios;2012T1;1.771,2
Total Nacional;Servicios;2011T4;1.619,1
Total Nacional;Servicios;2011T3;1.493,8
Total Nacional;Servicios;2011T2;1.444,1
Total Nacional;Servicios;2011T1;1.517,4
Total Nacional;Servicios;2010T4;1.418,3
Total Nacional;Servicios;2010T3;1.398,1
Total Nacional;Servicios;2010T2;1.454,6
Total Nacional;Servicios;2010T1;1.516,2
Total Nacional;Servicios;2009T4;1.420,6
Total Nacional;Servicios;2009T3;1.408,5
Total Nacional;Servicios;2009T2;1.471
Total Nacional;Servicios;2009T1;1.455,8
Total Nacional;Servicios;2008T4;1.147,3
Total Nacional;Servicios;2008T3;942,6
Total Nacional;Servicios;2008T2;896,8
Total Nacional;Servicios;2008T1;848,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;1.227,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;1.323,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;1.322,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;1.325,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;1.393
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;1.402,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;1.354,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;1.473,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;1.537
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;1.529,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;1.580,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;1.658,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;1.702,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;1.888
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;2.080,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;1.789
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;1.740,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;1.597,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T2;1.259,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T1;1.494,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T4;1.532,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T3;1.577,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T2;1.592,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T1;1.629,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T4;1.661,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T3;1.752,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T2;1.873
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T1;1.927,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T4;2.011,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T3;2.038,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T2;2.141,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;2.275,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;2.376,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;2.501,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;2.626,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;2.693,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;2.797,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T3;2.912,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T2;3.143
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T1;3.267,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T4;3.314,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T3;3.325,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T2;3.408,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T1;3.500,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T4;3.537,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T3;3.503,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T2;3.440
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T1;3.417,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T4;3.294,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T3;3.140,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T2;2.995,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T1;2.843,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T4;2.761,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T3;2.585,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T2;2.491,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T1;2.485,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T4;2.408,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T3;2.252,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T2;2.176,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T1;2.002,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T4;1.779,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T3;1.525
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T2;1.384,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T1;1.278,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T4;1.036,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T3;869,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T2;808,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T1;764,4
01 Andalucía;Total;2024T4;652,7
01 Andalucía;Total;2024T3;670,4
01 Andalucía;Total;2024T2;676
01 Andalucía;Total;2024T1;730
01 Andalucía;Total;2023T4;727,4
01 Andalucía;Total;2023T3;783,5
01 Andalucía;Total;2023T2;755,4
01 Andalucía;Total;2023T1;753,6
01 Andalucía;Total;2022T4;772
01 Andalucía;Total;2022T3;778,9
01 Andalucía;Total;2022T2;760,9
01 Andalucía;Total;2022T1;784,8
01 Andalucía;Total;2021T4;830,9
01 Andalucía;Total;2021T3;919,8
01 Andalucía;Total;2021T2;877,6
01 Andalucía;Total;2021T1;897,3
01 Andalucía;Total;2020T4;907,2
01 Andalucía;Total;2020T3;932,3
01 Andalucía;Total;2020T2;788,5
01 Andalucía;Total;2020T1;836,7
01 Andalucía;Total;2019T4;823,9
01 Andalucía;Total;2019T3;865,8
01 Andalucía;Total;2019T2;835,5
01 Andalucía;Total;2019T1;829,5
01 Andalucía;Total;2018T4;834,3
01 Andalucía;Total;2018T3;898,2
01 Andalucía;Total;2018T2;910,3
01 Andalucía;Total;2018T1;975,7
01 Andalucía;Total;2017T4;960,6
01 Andalucía;Total;2017T3;1.005,6
01 Andalucía;Total;2017T2;1.000,2
01 Andalucía;Total;2017T1;1.072,4
01 Andalucía;Total;2016T4;1.120,3
01 Andalucía;Total;2016T3;1.133,8
01 Andalucía;Total;2016T2;1.161,1
01 Andalucía;Total;2016T1;1.189,2
01 Andalucía;Total;2015T4;1.198,3
01 Andalucía;Total;2015T3;1.281,9
01 Andalucía;Total;2015T2;1.260,5
01 Andalucía;Total;2015T1;1.359,1
01 Andalucía;Total;2014T4;1.395,7
01 Andalucía;Total;2014T3;1.419,1
01 Andalucía;Total;2014T2;1.400,3
01 Andalucía;Total;2014T1;1.403,4
01 Andalucía;Total;2013T4;1.462,5
01 Andalucía;Total;2013T3;1.450,8
01 Andalucía;Total;2013T2;1.447,2
01 Andalucía;Total;2013T1;1.481,7
01 Andalucía;Total;2012T4;1.446,8
01 Andalucía;Total;2012T3;1.426,7
01 Andalucía;Total;2012T2;1.358,7
01 Andalucía;Total;2012T1;1.326,5
01 Andalucía;Total;2011T4;1.247
01 Andalucía;Total;2011T3;1.227,9
01 Andalucía;Total;2011T2;1.173,5
01 Andalucía;Total;2011T1;1.177,6
01 Andalucía;Total;2010T4;1.117,4
01 Andalucía;Total;2010T3;1.125,1
01 Andalucía;Total;2010T2;1.100,2
01 Andalucía;Total;2010T1;1.077,4
01 Andalucía;Total;2009T4;1.034,1
01 Andalucía;Total;2009T3;992,7
01 Andalucía;Total;2009T2;994,4
01 Andalucía;Total;2009T1;939,6
01 Andalucía;Total;2008T4;845,6
01 Andalucía;Total;2008T3;701,7
01 Andalucía;Total;2008T2;616,1
01 Andalucía;Total;2008T1;561,7
01 Andalucía;Agricultura;2024T4;60
01 Andalucía;Agricultura;2024T3;82,9
01 Andalucía;Agricultura;2024T2;71,3
01 Andalucía;Agricultura;2024T1;65,7
01 Andalucía;Agricultura;2023T4;68,6
01 Andalucía;Agricultura;2023T3;96,1
01 Andalucía;Agricultura;2023T2;79,7
01 Andalucía;Agricultura;2023T1;68,3
01 Andalucía;Agricultura;2022T4;76,4
01 Andalucía;Agricultura;2022T3;92,5
01 Andalucía;Agricultura;2022T2;79,1
01 Andalucía;Agricultura;2022T1;80,9
01 Andalucía;Agricultura;2021T4;88
01 Andalucía;Agricultura;2021T3;128,4
01 Andalucía;Agricultura;2021T2;107,1
01 Andalucía;Agricultura;2021T1;104,3
01 Andalucía;Agricultura;2020T4;106,2
01 Andalucía;Agricultura;2020T3;128,2
01 Andalucía;Agricultura;2020T2;107,4
01 Andalucía;Agricultura;2020T1;88
01 Andalucía;Agricultura;2019T4;110,2
01 Andalucía;Agricultura;2019T3;130
01 Andalucía;Agricultura;2019T2;116,1
01 Andalucía;Agricultura;2019T1;95,6
01 Andalucía;Agricultura;2018T4;95
01 Andalucía;Agricultura;2018T3;122
01 Andalucía;Agricultura;2018T2;110
01 Andalucía;Agricultura;2018T1;115,6
01 Andalucía;Agricultura;2017T4;112,4
01 Andalucía;Agricultura;2017T3;149,7
01 Andalucía;Agricultura;2017T2;133,3
01 Andalucía;Agricultura;2017T1;113,1
01 Andalucía;Agricultura;2016T4;130,1
01 Andalucía;Agricultura;2016T3;155,1
01 Andalucía;Agricultura;2016T2;154,8
01 Andalucía;Agricultura;2016T1;146,4
01 Andalucía;Agricultura;2015T4;127,8
01 Andalucía;Agricultura;2015T3;158,2
01 Andalucía;Agricultura;2015T2;147,7
01 Andalucía;Agricultura;2015T1;169,7
01 Andalucía;Agricultura;2014T4;164,2
01 Andalucía;Agricultura;2014T3;175,7
01 Andalucía;Agricultura;2014T2;156,3
01 Andalucía;Agricultura;2014T1;128,2
01 Andalucía;Agricultura;2013T4;139,5
01 Andalucía;Agricultura;2013T3;170,6
01 Andalucía;Agricultura;2013T2;155,4
01 Andalucía;Agricultura;2013T1;159,3
01 Andalucía;Agricultura;2012T4;145,5
01 Andalucía;Agricultura;2012T3;172,8
01 Andalucía;Agricultura;2012T2;154,8
01 Andalucía;Agricultura;2012T1;147,6
01 Andalucía;Agricultura;2011T4;114,1
01 Andalucía;Agricultura;2011T3;159,7
01 Andalucía;Agricultura;2011T2;159,9
01 Andalucía;Agricultura;2011T1;134,4
01 Andalucía;Agricultura;2010T4;115
01 Andalucía;Agricultura;2010T3;143,5
01 Andalucía;Agricultura;2010T2;138,3
01 Andalucía;Agricultura;2010T1;95,3
01 Andalucía;Agricultura;2009T4;116,1
01 Andalucía;Agricultura;2009T3;139,5
01 Andalucía;Agricultura;2009T2;125,4
01 Andalucía;Agricultura;2009T1;91,3
01 Andalucía;Agricultura;2008T4;96
01 Andalucía;Agricultura;2008T3;90,5
01 Andalucía;Agricultura;2008T2;74,8
01 Andalucía;Agricultura;2008T1;59,3
01 Andalucía;Industria;2024T4;20,4
01 Andalucía;Industria;2024T3;19,3
01 Andalucía;Industria;2024T2;20,2
01 Andalucía;Industria;2024T1;23,5
01 Andalucía;Industria;2023T4;13,4
01 Andalucía;Industria;2023T3;24,3
01 Andalucía;Industria;2023T2;27,6
01 Andalucía;Industria;2023T1;25,4
01 Andalucía;Industria;2022T4;23,5
01 Andalucía;Industria;2022T3;27,4
01 Andalucía;Industria;2022T2;24,6
01 Andalucía;Industria;2022T1;27,3
01 Andalucía;Industria;2021T4;21,4
01 Andalucía;Industria;2021T3;21,1
01 Andalucía;Industria;2021T2;22,8
01 Andalucía;Industria;2021T1;32,7
01 Andalucía;Industria;2020T4;23,7
01 Andalucía;Industria;2020T3;30,9
01 Andalucía;Industria;2020T2;32,3
01 Andalucía;Industria;2020T1;25,7
01 Andalucía;Industria;2019T4;25,1
